id,title,date,format,theme,filename,description,nix
MAF01,"General fertility rates (GFR) total fertility rates (TFR) births 2001 - 2012",30/07/2013,Excel,starting-well,"General_fertility_rates_total_fertility_rates_births_2001_2012.xlsx","This file includes births, general fertility rate and total fertility rate for all local authorities in West Sussex.

Graphs allow the comparison of trends over time.",0
MAF02,Live births 2004 - 2010 and fertility rates 2005 - 2010,03/02/2012,Excel,starting-well,live_births_2004_2010_and_fertility_rates_2005_2010.xls,"Data on trend in number of live births from 2004 to 2010 at local authority level.

Data also provided on general fertility rates (GFR) and total fertility rates (TFR) over the past 6 years at local authority levels.",0
SACE03,Data briefing national child measurement programme - February 2015,24/03/2015,Word,starting-well,data_briefing_national_child_measurement_programme_feb_2015.doc,"The National Child Measurement Programme (NCMP) for England records height and weight measurements of children in state-maintained schools in reception (aged 4-5 years) and year 6 (aged 10-11 years) and provides high-level analyses of the prevalence of
‘underweight’, ‘healthy weight’, ‘overweight’, ‘obese’ and ‘combined overweight and
obese’ children.

This briefing summarises the analyses for children measured in West Sussex schools, and is taken from the report “National Child Measurement Programme: England, 2013/14 school year”, published by the Health and Social Care Information Centre in December 2014."
SACE04,"Prevalence of underweight, healthy weight, overweight and obese children",07/08/2013,Excel,starting-well,prevalence_underweight_healthy_weight_overweight_obese_children.xlsx,"Prevalence of underweight, healthy weight, overweight and obese children currently in Year R (aged 4-5) and year 6 (aged 10-11) at County and regional level."
SACE05,Unpaid carers (2001 - 2011),10/09/2013,Excel,starting-well,unpaid_carers_2001_2011.xlsx,"Census data regarding unpaid care. This spreadsheet includes ward level counts for unpaid care by hours given and also includes confidence intervals to show statistical significance."
SACE06,Provision of unpaid care by ethnic group,05/09/2013,Excel,starting-well,provision_of_unpaid_carers_by_ethnic_group.xls,"This document shows the number of carers by ethnic groups for all districts in West Sussex. Figures are broken down by broad groups on the number of hours of unpaid care provided."
SACE07,Carers data - Census 2011,16/08/2013,Excel,starting-well,carers.xlsx,"Census data of unpaid carers within West Sussex at district level, categorised by number of hours worked and by self-assessed general health."
SACE08,Carers service data - September 2009,23/12/2011,PDF,starting-well,carers_service_data_sep_2009.pdf,"This is a five page extract from the broader data review that was conducted in September of 2009 around the issues of carers.

This document relates to data pulled from the County Council’s social care database and that of the Carer’s Support Service. Included are data on the former LAA Carers Assessment Review target, and further details on the circumstances of care.

This does not represent all the carers in the county (thought to be roughly 10% of the population - Census 2001) but it gives an idea of the level of support currently provided by social services."
SACE09,Progression to higher education from low income families (2006 - 2008),07/02/2011,Excel,starting-well,progression_to_he_from_low_income_families_2006_2008.xls,"Percentage of students in low income families progressing to higher education at age 18 for academic years ending 2006-2008.

Comparisons with neighbouring authorities included."
SACE10,Child poverty briefing note 2013,31/10/2013,Word,starting-well,jsna_briefing_child_poverty_oct_2013.doc,"Update on child poverty relating to August 2011 as provided by HM Revenue and Customs (HMRC).

In 2011, 13% of all children, and 13.5% of children under 16 years old were in relative poverty in West Sussex. This was highest in Crawley and lowest in Mid Sussex.

Data is available at county, local authority, ward and neighbourhood levels (lower super output area)."
SACE11,Child poverty 2010,07/08/2012,Excel,starting-well,child_poverty_2010.xls,"Detailed figures from 2010 relating to the amount of children in poverty at ward level for West Sussex."
SACE12,Looked after children needs assessment,06/07/2012,PDF,starting-well,needs_assessment_of_vulnerable_and_looked_after_children___full_report.pdf,"A comprehensive needs assessment of vulnerable and Looked After Children in West Sussex, focussing on social care services, physical and mental health, housing, lifestyle and education.

Produced in 2008 by NHS Sussex."
SACE13,Evidence and engagement with children and young people in West Sussex 2014,25/07/2014,PDF,starting-well,evidence_engagement_children_young_people_final_report.pdf,"To inform the Children and Young People’s Emotional Wellbeing and Mental Health Needs Assessment, 2014, engagements were held with children and young people across the county in the Autumn of 2013.

In addition, an online survey was developed to capture the views of young people.

With in the discussion groups were upper and lower tier service users, members of the Children in Care Council and young people from secondary schools throughout the county.

This report is one of a three part engagement; the others being with ‘Parents / Carers of those involved with CAMHS’ and with ‘Professionals involved with CAMHS’ in West Sussex."
SACE14,Evidence and engagement with parents/carers of young people involved with CAMHS in West Sussex 2014,25/07/2014,PDF,starting-well,evidence_engagement_parents_final_report.pdf,"To inform the Children and Young People’s Emotional Wellbeing and Mental Health Needs Assessment, 2014, engagements were held with parents and carers of young people involved with CAMHS across the county in the Autumn of 2013. In addition, an online survey was developed to capture the views of parents and carers.

This report is one of a three part engagement; the others being with ‘Professionals involved with CAMHS’ and with ‘Children and Young People across West Sussex’."
SACE15,Evidence engagement with professionals involved with CAMHS in West Sussex 2014,25/07/2014,PDF,starting-well,evidence_engagement_professionals_final_report.pdf,"To inform the Children and Young People’s Emotional Wellbeing and Mental Health Needs Assessment, 2014, engagements were held with professionals across the county in the Autumn of 2013.

In addition, an online survey was developed to capture the views of professionals from a broad range of organisations.

This report is one of a three part engagement; the others being with ‘Parents / Carers of those involved with CAMHS’ and with ‘Children and Young People across West Sussex’."
SACE16,Evaluation of the Family Link Worker service 2012-2013,31/12/2013,Word,starting-well,family_link_worker_service_evaluation_report_2013.doc,"This report evaluates the impact of the Family Link Worker Service over the 2012-2013 academic year.

Overall, at least one of the four evaluation forms was returned for 340 children/cases. These children attended 125 different schools.

The number of children referred from these schools ranged from between one to ten. Among the findings:

1. In eight out of ten cases, children said that their FLW had helped them and their families a lot.
2. In two-thirds of cases schools said that barriers to learning had been lessened.
3. 86% of schools thought that the service was effective in meeting children’s needs."
SACE17,Quality assurance of children’s residential care: Service level summary 2013,28/06/2013,PDF,starting-well,quality_assurance_in_children__s_residential_care_service_level_summary_2013.pdf,"Service level summary on the quality of care provided by 7 children’s residential care units in West Sussex. This summary provides an overview of the project with selected results presented."
SACE18,Child disability mapping project survey report,24/05/2013,PDF,starting-well,child_disability_mapping_project.pdf,"Report looking into parents experience and opinion of services for children with a disability.

A questionnaire-based postal survey was sent to 642 families known to have a child with a disability and covers 3 key areas:

1. Care and support received by families over the last 12months. Parental rating of satisfaction of services, extent to which services met their child’s needs, rating of quality of social services and level of awareness of services available.
2. Information and advice about their child care. Opinion from parents on obtaining information on their social care needs and services provided.
3. Decision made about their child’s care over the last 12 months. This section covers aspects of decisions made by social care professionals including satisfaction with decision and whether they or their child were consultant."
SACE19,Analysis of the West Sussex 2011 Year 11 cohort,24/08/2012,Word,starting-well,west_sussex_2011_year_11_cohort.doc,"This report looks at educational attainment of Year 11 Pupils in 2011 at Key Stage 4 (GCSE) along with pupil progress in core subjects (English, Maths and Science) between Key Stage 2 and Key Stage 4.

79% of students achieved 5+ A*-C grades in all subjects, while 59% of students achieved 5+ A*-C grades when including English and Maths.

This is similar to the national figures but compares averagely with neighbouring counties.

The results also show that there is a strong correlation between social deprivation and educational attainment, particularly for Maths and Science.

Variations in attainment were also observed between districts with a higher percentage of pupils from Horsham achieving grade A*-C compared to pupils in Adur.

Exclusion from school either temporarily or permanently is associated with poorer attainment. Pupils that have been excluded (between September 2007 and December 2010) were 3 times less likely to achieve 5+ A*-C grades (including English and Maths) compared to non-excluded pupils."
SACE20,Lifestyles of 14-15 year olds in West Sussex 2015,17/11/2015,PDF,starting-well,Lifestyles-of-14-15-year-olds-in-West-Sussex-2015.pdf,"Lifestyles of 14-15 year olds in West Sussex 2015."
YP01,CLA Rate - West Sussex and Statistical Neighbours 2016,"01/02/2017",PDF,starting-well,CLA-Rate-WSx-with-SN-2016.pdf,"This table and graph show the number of Children looked after per 10,000 children aged under 18 in West Sussex and statistical neighbours for the year 2007-2016."
YP02,CPP Rate - West Sussex and Statistical Neighbours 2015,"01/02/2017",PDF,starting-well,CPP-Rate-WSx-in-comparison-with-SN-2015.pdf,"This table and graph show the number of children who are the subject of a child protection plan per 10,000 in West Sussex and statistical neighbours for the year 2007-2015."
YP03,CIN - West Sussex and Statistical Neighbours 2015,"01/02/2017",PDF,starting-well,CIN-WSx-in-Comparison-with-SN.pdf,"This table and graph show the number of Children in Need per 10,000 in West Sussex and statistical neighbours for the year 2009-2015."
YP04,What About YOUth - Graphic PHSRU,01/02/2017,PDF,starting-well,What-About-YOUth-Graphic-PHSRU.pdf,"This infographic was produced using data from the What About YOUth survey of 15 year olds. The survey focused on health, behaviours and wellbeing.

In West Sussex, approximately 1,100 young people too part in the survey.

This infographic shows West Sussex data compared to England."
YP05,Progression to higher education from low income families (2006 - 2008),07/02/2011,Excel,starting-well,progression_to_he_from_low_income_families_2006_2008.xls,"Percentage of students in low income families progressing to higher education at age 18 for academic years ending 2006-2008.

Comparisons with neighbouring authorities included."
YP06,West Sussex mental health needs assessment (children and young people) June 2014,16/06/2014,PDF,starting-well,west_sussex_children_and_young_people_emotional_and_well_being_needs_assessment___june_2014.pdf,"This needs assessment looks at the emotional wellbeing and mental health of children and young people in West Sussex; in the main people aged 0-18 years of age, in some instances up to 25 years.

The information collated aims to answer some basic questions:

* What are the characteristics of the population aged 0-24 years in West Sussex?
* What are the risk factors and protective factors affecting the mental health and emotional wellbeing of the population?
* What are the mental health, emotional and behavioural conditions and needs requiring commissioned services?
* What services are currently provided to meet those needs?
* How well are services currently provided to meet those needs?
* What gaps/barriers, if any, need to be addressed?

While a range of data have been collated, at the heart of this work are the experiences and views of children and young people, parents, carers and professionals. The needs assessment was conducted by researchers in the Public Health, Health and Social Care Commissioning Directorate,
with consultation fieldwork undertaken between October 2013 and December 2013."
YP07,Looked after children needs assessment,06/07/2012,PDF,starting-well,needs_assessment_of_vulnerable_and_looked_after_children___full_report.pdf,"A comprehensive needs assessment of vulnerable and Looked After Children in West Sussex, focussing on social care services, physical and mental health, housing, lifestyle and education.

Produced in 2008 by NHS Sussex."
YP08,Evidence and engagement with children and young people in West Sussex 2014,25/07/2014,PDF,starting-well,evidence_engagement_children_young_people_final_report.pdf,"To inform the Children and Young People’s Emotional Wellbeing and Mental Health Needs Assessment, 2014, engagements were held with children and young people across the county in the Autumn of 2013.

In addition, an online survey was developed to capture the views of young people.

Within the discussion groups were upper and lower tier service users, members of the Children in Care Council and young people from secondary schools throughout the county.

This report is one of a three part engagement; the others being with ‘Parents / Carers of those involved with CAMHS’ and with ‘Professionals involved with CAMHS’ in West Sussex."
YP09,Evidence and engagement with parents/carers of young people involved with CAMHS in West Sussex 2014,25/07/2014,PDF,starting-well,evidence_engagement_parents_final_report.pdf,"To inform the Children and Young People’s Emotional Wellbeing and Mental Health Needs Assessment, 2014, engagements were held with parents and carers of young people involved with CAMHS across the county in the Autumn of 2013. In addition, an online survey was developed to capture the views of parents and carers.

This report is one of a three part engagement; the others being with ‘Professionals involved with CAMHS’ and with ‘Children and Young People across West Sussex’."
YP10,Evidence engagement with professionals involved with CAMHS in West Sussex 2014,25/07/2014,PDF,starting-well,evidence_engagement_professionals_final_report.pdf,"To inform the Children and Young People’s Emotional Wellbeing and Mental Health Needs Assessment, 2014, engagements were held with professionals across the county in the Autumn of 2013.

In addition, an online survey was developed to capture the views of professionals from a broad range of organisations.

This report is one of a three part engagement; the others being with ‘Parents / Carers of those involved with CAMHS’ and with ‘Children and Young People across West Sussex’."
YP11,Eye health - baseline evidence and service data,12/09/2013,Word,starting-well,jsna_eye_health_sight_loss_briefing.docx,"With a National Eye Health week established, this report on eye health presents information on the prevalence on eye conditions as well as information on sight tests by service user groups, cataract operations and the number of people registered blind in West Sussex."
YP12,Quality assurance of children’s residential care: Service level summary 2013,28/06/2013,PDF,starting-well,quality_assurance_in_children__s_residential_care_service_level_summary_2013.pdf,"Service level summary on the quality of care provided by 7 children’s residential care units in West Sussex. This summary provides an overview of the project with selected results presented."
YP13,Child disability mapping project survey report,24/05/2013,PDF,starting-well,child_disability_mapping_project.pdf,"Report looking into parents experience and opinion of services for children with a disability.

A questionnaire-based postal survey was sent to 642 families known to have a child with a disability and covers 3 key areas:

1. Care and support received by families over the last 12months. Parental rating of satisfaction of services, extent to which services met their child’s needs, rating of quality of social services and level of awareness of services available.
2. Information and advice about their child care. Opinion from parents on obtaining information on their social care needs and services provided.
3. Decision made about their child’s care over the last 12 months. This section covers aspects of decisions made by social care professionals including satisfaction with decision and whether they or their child were consultant."
YP14,Analysis of the West Sussex 2011 Year 11 cohort,24/08/2012,Word,starting-well,west_sussex_2011_year_11_cohort.doc,"This report looks at educational attainment of Year 11 Pupils in 2011 at Key Stage 4 (GCSE) along with pupil progress in core subjects (English, Maths and Science) between Key Stage 2 and Key Stage 4.

79% of students achieved 5+ A*-C grades in all subjects, while 59% of students achieved 5+ A*-C grades when including English and Maths.

This is similar to the national figures but compares averagely with neighbouring counties.

The results also show that there is a strong correlation between social deprivation and educational attainment, particularly for Maths and Science.

Variations in attainment were also observed between districts with a higher percentage of pupils from Horsham achieving grade A*-C compared to pupils in Adur.

Exclusion from school either temporarily or permanently is associated with poorer attainment. Pupils that have been excluded (between September 2007 and December 2010) were 3 times less likely to achieve 5+ A*-C grades (including English and Maths) compared to non-excluded pupils."
YP15,Lifestyles of 14-15 year olds in West Sussex 2015,17/11/2015,PDF,starting-well,Lifestyles-of-14-15-year-olds-in-West-Sussex-2015.pdf,"Lifestyles of 14-15 year olds in West Sussex 2015"
YP16,Under 18 and under 16 conception rates 2010,04/05/2012,Excel,starting-well,under_18_under_16_conception_rates_2010.xls,"Under 18 and under 16 conception rate for West Sussex and England based on mother’s usual area of residence."
ENV01,Local carbon dioxide (CO2) emissions estimates 2005 - 2011,07/08/2012,Excel,living-well,local_co2_emission_2005_2011.xlsx,"Local CO2 emissions estimates for 2005-2011, represented per capita and raw figures by industry."
ENV02,Residual waste per household (2007- 2009),07/02/2011,Excel,living-well,residual_waste_per_household_2007_2009.xls,"Average kilos of waste not sent for recycling/composting etc, collected per household by district for two years."
ENV03,Environmental health services: Reconnecting public health,16/07/2013,Word,living-well,environmental_health_reconnecting_public_health.doc,"The first report of its kind, this reports brings together key environmental factors, which affect Public Health in West Sussex.

These are air quality, fuel poverty, water quality, alcohol control and noise control.

A separate section on the emergent issue of increasing public awareness of food hygiene standards when eating out follows this."
HOME01,Housing Data Workbook December 2016,01/02/2017,Excel,living-well,Housing-Data-Workbook-December-2016.xlsx,"This spreadsheet contains data on housing in West Sussex districts and boroughs. Data sources include: Census 2011, Office for National Statistics, Land registry, Valuation Office Agency, Department for Communities and Local Government, and Ministry of Justice."
HOME02,Housing in West Sussex: Review of data,14/04/2012,Word,living-well,housing_review_data.doc,"This is a review of the evidence relating to the need for housing and supported housing in West Sussex.

It collates current evidence, identifies Òknown knowledge gapsÓ and provides a high-level summary of the assumptions underpinning housing and supported housing needs strategies and service reviews.

Data collected as apart of this review will be incorporated into the wider West Sussex Joint Strategic Needs Assessment (JSNA), providing an expanded core dataset to incorporate housing and housing related data.

Supported housing needs cannot be isolated from ÒwiderÓ housing needs, therefore information on wider housing need and supply is also included.

In relation to supported housing, West Sussex County Council has undertaken (as of summer 2011) a series of strategic reviews, examining the provision for the following client groups:
* younger people
* older people
* offenders and ex-offenders
* people who have experienced domestic violence
* people with mental health problems

In addition to examining existing provision, these reviews have also considered wider issues and unmet need.

Further strategic reviews are planned for homeless people and families, and people with substance misuse problems."
NBH01,Crime rates,28/08/2013,Excel,living-well,crime_rates.xlsx,"Crime rates and pooled figures at ward level between 2008-2013 with comparative tools."
NBH02,Alcohol related record violent crimes,16/07/2012,Excel,living-well,alcohol_related_record_violent_crimes.xls,"Data on alcohol-related recorded and violent crimes at Local Authority level, crude rate per 1,000 population. Data is based on 2010/11 Home Office records and applied to the 2009 mid-year population estimates."
NBH03,"Ward, middle super output area (MSOA), lower super output area, urban and rural classifications",12/08/2013,Excel,living-well,ward_msoa_lsoa_urban_rural_classification.xlsx,
NBH04,"Indices of multiple deprivation (IMD) 2010, 2007, 2004 data for West Sussex lower super output area LSOAs",20/09/2012,Excel,living-well,imd_2010_2007__2004_data_west_sussex_LSOAs.xls,"The attached file brings together all of the indices and population bases used in the index of multiple deprivation (IMD) 2010, 2007 and 2004.

Values are highlighted in blue or dark blue where they lie in the bottom 20% or 10% nationally and light yellow or dark yellow where they lie in the top 20% or 10%.

Each index is made up of a series of sub-indicators, these are not included within this document but may be downloaded from the Department for Communities and Local Government (DCLG) website. \n\nIndex values are an adjusted distribution and are not comparable year on year or against each other as they are not a linear scale. Relative national rank is instead used to compare LSOAs year on year but this will not give an indication of absolute deprivation (with the exception of the Income Deprivation (INC), Employment Deprivation (EMP), Income Deprivation Affecting Children Index (IDACI) and Income Deprivation Affecting Older People Index (IDAOPI), which are percentages of their respective sections of the population)."
NBH05,Indices of multiple deprivation (IMD) 2010 West Sussex- data briefing,05/07/2012,PDF,living-well,indices_of_deprivation_2010___west_sussex___briefing.pdf,"This report highlights the relative level of deprivation in West Sussex at lower super output area (LSOA) level as well as ward level.

Look out for:

1. Relative ranking of overall deprivation and each indicator.
2. Relative ranking for income deprivation for children and older people.

The index of multiple deprivation (IMD) 2010 is the third publication in the series that measures deprivation at LSOA level. Deprivation score is based on a number of domains based on economic, social and housing issues."
NBH06,Index of multiple deprivation (IMD) 2010 (appendices),12/03/2012,PDF,living-well,imd_2010_appendices.pdf,"Appendices to the indices of multiple deprivation 2010 Report. Includes LSOA and ward level ranking on all 7 domain groups."
NBH07,Method of travel to work (2001 - 2011),13/11/2011,Excel,living-well,method_travel_work_2001_2011.xlsx,"Comparison of the 2001 and 2011 Census data on method of travel to work at ward and local authority level."
NBH08,"Lifestyles of older people in West Sussex, 2006",03/04/2014,PDF,living-well,lifestyles_of_older_people_in_west_sussex_2006.pdf,"West Sussex has an ageing population. The countyÕs population age structure is older than the South East region and England as a whole and presents challenges in relation to the demand for and provision of services, but also in the way that older people are perceived and included in the wider community.

This report includes sections on smoking and alcohol, carers, contact with health services, home, anti-social behaviour and vulnerability of 48,202 people aged 60+ in West Sussex."
NBH09,Lifestyles of 16 to 24 year olds in West Sussex 2007,03/04/2014,PDF,living-well,lifestyles_of_16_to_24_year_olds_in_west_sussex_2008.pdf,"This survey provides West Sussex with an important and timely insight into the health and educational determinants of young adults in further and higher education.

This report provides information on demographics, lifestyles, high-risk and sexual behaviour of young adults aged between 16 and 24 years old.

This lifestyle survey of 16 to 24-year-olds attending Further and Higher Education Colleges in West Sussex was conducted in the winter term 2006-2007 (representing the views of 2,672 young adults)."
NBH10,West Sussex residents survey; 2014,22/08/2014,PDF,living-well,west_sussex_residents_survey_2014_.pdf,"A Community Survey was undertaken in West Sussex in February to May 2014.

Almost 4,000 people across the county were surveyed; it was a household face-to-face survey.

The survey used nationally and internationally validated questions on a range of issues including volunteering in the community, social networks and isolation (both in the general population and amongst older people), local concerns, assets and social action.

The background questions used, wherever possible, the same format as the Census 2011."
NBH11,Lives of older people in West Sussex survey; summary report 2013,16/12/2013,PDF,living-well,lives_of_older_people_in_west_sussex_survey_summary_report_2013_final_.pdf,"West Sussex County Council conducted a telephone survey of 2803 residents aged 65+ and selected at random.

The aims of the survey were to understand levels of loneliness, social isolation and participation in older people in the county and to obtain data on health, wellbeing and lifestyle.

Attached is a short summary of the findings from the report."
NBH12,Seaside deprivation,30/08/2013,Word,living-well,seaside_deprivation.docx_1.doc,"This brief will the a recent ONS study into the high levels of deprivation being experienced by large seaside resorts such as Bognor Regis, Worthing and Brighton among others in the local area."
NBH13,Bentswood stakeholder workshop summary: Maintaining health and wellbeing in Bentswood,23/01/2013,PDF,living-well,maintaining_h_and_w_bentswood.pdf,"West Sussex Public Health is undertaking an innovative new project to enhance health improvement in Bentswood.

The purpose of the workshop was to introduce the stakeholders who live and work in Bentswood, to innovative ways of working within neighbourhoods and communities.

This report is a summary of the discussion held on the day on how to improve health and wellbeing in the area using resources available in Bentswood."
DAA01,West Sussex alcohol and drugs needs assessment; final report 2014,16/06/2014,PDF,living-well,west_sussex_alcohol_and_drugs_needs_assessment___final_report.pdf,"In undertaking the needs assessment researchers examined evidence, reviewed activity and provision alongside national guidance and best practice, and engaged with a wide range of local stakeholders.

In relation to specific gaps in services and/or unmet needs, the report noted the following:

* There should be an increased emphasis on recovery. As a matter of urgency there should be clear linkages with maternity services, specialist inpatient services and some specialist adult social care.
* There should be increased provision, and improved mapping, of peer support and self-help groups.
* There should be stronger integration with mental health services to ensure that the needs of people with a dual diagnosis are addressed.
* Commissioners should examine the access and take up of services by people from diverse groups, including BME groups, and people living in rural areas.
* Examine why there is apparent under-use of some services, including the Structured Day Service and the local residential Tier 4 detox and rehab service.
* Commissioners should review the assessment panel process for Tier 4 and also ensure that that Tier 4 treatment options should be considered at the start of a treatment journey not as Òthe last resortÓ.
* Work should be undertaken to improve staff wellbeing and morale, including sickness and stress levels.

There were a number of recommendations specifically relating to children and young including:
* Improved support for children and young people with parents/carers with substance misuse problems (including improved identification of children of substance misusers), improved staff training, expand provision of Alcohol Identification and Brief Interventions, ensure adequate early intervention programmes and improved co-ordination of school education work.

The needs assessment also highlighted the issue of poor quality infrastructure and noted that significant investment was required to ensure buildings are fit for purpose."
